"","x"
"229",0.066050899318175
"230",-0.0706817501979498
"231",0.00119267637947464
"232",0.025819596206707
"233",0.0068885579047898
"234",-0.0159786145994938
"235",-0.00642448479719901
"236",0.0341349161974048
"237",-0.0482455478500836
"238",0.0298594819757333
"239",0.0141885595320121
"240",0.0402721131818725
"241",-0.0618083225703794
"242",-0.0732864837882342
"243",-0.0333718959939433
"244",0.0134667868590504
"245",-0.0221140558466885
"246",0.00221852806709808
"247",-0.02069671135516
"248",-0.0679706984954634
"249",-0.0780876750928222
"250",-0.0420589999975186
"251",-0.00589212238222115
"252",0.102620102971548
"253",0.106897657928101
"254",0.00963102236156657
"255",0.0017558721955631
"256",0.0176701876827333
"257",0.0222153318971665
"258",-0.0174146710465404
"259",0.0133183286529933
"260",-0.0225200656157406
"261",-0.0269534629205072
"262",-0.0637967677378211
"263",0.00457206189294184
"264",0.00841752757077821
"265",-0.0794482422270303
"266",-0.0147273028737921
"267",0.0751565714168097
"268",-0.0563545407057193
"269",-0.0288855723620783
"270",-0.0251458245467428
"271",0.0142818804956448
"272",0.0553672332697702
"273",0.00726918823368903
"274",-0.00334169980432086
"275",-0.00468403382939661
"276",0.0439009176421615
"277",-0.00339209358177481
"278",0.0169590130369647
"279",0.0363026956004717
"280",-0.00393829724404779
"281",0.00646680272604212
"282",-0.0433987198792496
"283",-0.0268724441135987
"284",-0.00415527928551214
"285",-0.0289024848389221
"286",0.0581537526160113
"287",-0.0503148839964057
"288",-0.0355240984231047
"289",-0.00311822836829496
"290",0.00912414013870027
"291",-0.0482116697317807
"292",0.00410127447741845
"293",-0.0129512593399238
"294",0.00346186311237519
"295",0.00870748179342907
"296",0.0216204998585243
"297",0.0395265204020606
"298",0.0418257437527365
"299",0.080353529244594
"300",0.0210886521741592
"301",-0.0367132664854393
"302",0.057124831964682
"303",0.0122408021567453
"304",-0.0618562972175776
"305",-0.00295875163931338
"306",-0.0969779919360236
"307",-0.0295407119291582
"308",-0.0259800402997474
"309",0.00423559659756607
"310",-0.0114908655436311
"311",-0.0319636015497651
"312",-0.0200197615423024
"313",-0.00479576524743035
"314",-0.0239844952102895
"315",-0.0137059962254964
"316",0.00388005237915521
"317",0.0137341929561447
"318",0.0340428259681812
"319",-0.0139233010882298
"320",-0.00223531928828642
"321",0.115912292867512
"322",0.0951288673450138
"323",-0.0869357242599722
"324",-0.0670672274697318
"325",-0.00748571560086785
"326",-0.0681886262235059
"327",-0.0729691116195379
"328",-0.0457439499503064
"329",0.0474867901649186
"330",0.0366095470811157
"331",-0.0299859849209665
"332",-0.0155266394849046
"333",-0.0151965654692342
"334",0.0404266718111255
"335",-0.0103213828439342
"336",-0.0203911407294153
"337",-0.0333028503763394
"338",0.0557955621699181
"339",0.0262212499158973
"340",-0.00807661649189063
"341",0.00926885581442425
"342",-0.0138832385964484
"343",-0.0580040498781784
"344",-0.0461988464449681
"345",0.0158300831688183
"346",-0.03607153766318
"347",0.00698776029206047
"348",-0.0490356078362826
"349",-0.0293131484628835
"350",-0.0892987738157276
"351",-0.0257954055723376
"352",0.00165221413293196
"353",-0.0250982296157269
"354",0.0687152292403126
"355",-0.0568797741164618
"356",-0.0301311719322545
"357",-0.00792762225159193
"358",0.0302469087661902
"359",0.0100607768344315
"360",-0.0155061358671007
"361",-0.0550821343881483
"362",0.0529708615029521
"363",0.0406231025008705
"364",0.0587659839938865
"365",0.0557863471205064
"366",-0.00123745352421738
"367",-0.0784879084604858
"368",-0.0274410022422474
"369",0.0195365678186661
"370",0.171834911085173
"371",0.04625277136472
"372",-0.0843807596456364
"373",0.0130670336762662
"374",-0.133811549038996
"375",-0.0390772632470217
"376",-0.0200398538650476
"377",0.00423517199937631
"378",-0.111758729457646
"379",-0.0213531242079755
"380",-0.0200404685560299
"381",0.0236929111116761
"382",0.0647057382844591
"383",0.072834666927344
